编号,网站名称,首页网址,列表页,注册资本,省份,市,区,主体,描述页,状态,设置完成,是否需手工添加,备注,利息管理费,利息管理费时段,利息管理费是否分段,电话,办公所在省,办公所在市,办公所在区,办公地址,注册地址,上线时间,倒闭时间,倒闭原因,更新频率,信用代码,房屋编码
86,融易融,http://r-www.rongerongunion.ga,http://www.rongerong.com/invest/index(*).html,6000,广东省,深圳市,南山区,深圳融易融集团有限公司,,问题平台?,是?,否?,2017-04-12 http://www.rongerong.com ?,,,,400-061-8181?,广东?,深圳?,宝安区?,深圳市宝安区宝源路138号巷内华源科技创新园B座1区501（财富港旁边）?,深圳市南山区海德三路天利中央商务广场1104室?,2013-03-18?,2015-07-01?,提现困难?,1天?,91440300058974246N?,4403050070050700001000001?
87,联贷365,http://www.ldai365.com/,http://www.ldai365.com/borrow.asp?current_page=(*),50,广东省,东莞市,,东莞市联动投资咨询有限公司,,警?,否?,否?,几个月没有数据?,,,,,,,,,东莞市东城街道主山高田坊联动大厦六楼601?,2010-03-01?,,,1小时?,91441900551729631X?,
88,盛世创投,http://www.yok518.com,http://www.yok518.com/success/index2.html,5000,广东省,深圳市,福田区,深圳市晟世鸿科技有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,福田区?,深圳市福田区卓越世纪中心3号楼B座1213室?,深圳市福田区华强北街道赛格科技工业园4栋7层A-D轴与7-14轴7B12单元?,2013-04-18?,2014-12-02?,跑路平台?,1天?,9144030006029539XX?,4403040030022800001000028?
89,通融易贷,http://www.dai36.com/,,1000,广东省,广州市,天河区,广州通融投资管理有限公司,,问题平台?,是?,否?,,,,,020-38878226?,,,,广州市天河区棠东东路4号御富科贸园B1栋301室?,广州市天河区金穗路3号1303B房（本住所仅限办公功能）?,2012-04-06?,,提现困难?,1天?,,
91,世纪创想,http://www.shijivc.com,http://www.shijivc.com/loan/success.aspx,1000,山东省,青岛市,,青岛世纪创想电子商务有限公司,,问题平台?,是?,否?,发通知暂停营业?,,,,,,,,,,2012-02-26?,2015-12-25?,暂停营业?,1天?,,
92,汇通易贷,http://www.htyd50.com/,,5000,广东省,深圳市,福田区,深圳市汇通互联网信息服务有限公司,,问题平台?,是?,否?,关于“汇通易贷”平台案情通报https://mp.weixin.qq.com/s/8cFZ6Nbr9yZn9qsoEKtfXg?,,,,,广东?,深圳?,福田区?,广东省深圳市福田区上梅林卓越城1期2栋14层?,深圳市福田区梅林街道梅都社区中康路128号卓越梅林中心广场(北区)2号楼1401?,2011-05-23?,2018-09-20?,涉嫌非法吸收公众存款?,1天?,91440300574754936W?,
93,合盘金服,https://www.hepandai.com,http://www.hepandai.com/invest/a200.html,5000,上海市,上海市,,上海合盘金融信息服务股份有限公司,,预警平台?,是?,否?,原名：合盘贷 http://www.hepandai.com/ 定期通、活期通不采 7月23日，合盘金服发布良性退出公告，宣布计划3年内兑付完成。?,,,,4008-818-158?,,,,浦东新区东方路3261号振华企业广场B座13楼 ?,中国（上海）自由贸易试验区长柳路56-62（双）号603室 ?,2013-04-01?,2018-07-23?,良性退出?,1天?,91310000059332923R?,
94,立贷网,http://www.ldw111.com/,http://www.ldw111.com/invest/index2.html?type=success&epage=3,200,浙江省,杭州市,西湖区,杭州泰投投资咨询有限公司,,问题平台?,是?,否?,提现困难 问题发生时间：2013-09-01 ?,,,,,,,,,西湖区西园八路2号8幢2单元702室?,2013-03-28?,2013-10-01?,提现困难 问题发生时间：2013-10-01 ?,1天?,,
96,中州易贷,http://www.zzyidai.com/,,600,河南省,郑州市,,河南邦欣电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-02-21?,,停业网站打不开?,1天?,,
97,盛融在线,http://www.s-rong.cn,http://www.s-rong.cn/invest.htm?gid=91&bt=&index=(*),1000,广东省,广州市,白云区,广州志科电子商务有限公司,,问题平台?,是?,否?,截至2015年2月10日，盛融在线总成交量为126.63亿元，待收本息共计达9.21亿元。其中，待收的投资人达10837人，人均待收金额为8.5万元。?,,,,,,,,广州市白云区北太路1633号863大厦8楼?,广州市白云区北太路1633号科盛路1号309房（仅作办公用途）?,2010-10-09?,,,1天?,,
98,贷帮,http://www.daibang.com,http://www.daibang.com/,319.149,广东省,深圳市,南山区,深圳市贷帮金融信息服务有限公司,,正常?,否?,否?,,,,,400-681-6886?,广东?,深圳?,南山区?,深圳市南山区科技园金融基地1栋6E?,深圳市南山区科技园金融基地1栋6E?,2009-09-05?,,,1小时?,91440300068563117R?,4403050070080700042000001?
99,快速贷,http://www.ksudai.com,http://www.ksudai.com/,3000,广东省,惠州市,,广东快速贷互联网金融有限公司,,预警平台?,是?,否?,历史名称：惠州市快速贷互联网金融有限公司 原主体名称：惠州市粤望投资有限公司?,,,,0752-2127333?,,,,广东省惠州市江北中心区云山路双子星国际商务大厦B座20楼?,惠州市江北16号小区双子星国际商务大厦B座2001号?,2012-07-07?,2016-03-30?,终止运营?,1天?,91441300MA4UJ8MY57?,
100,团贷网,https://www.tuandai.com/,http://www.tuandai.com/,10293.333,广东省,东莞市,,东莞团贷网互联网科技服务有限公司,,正常?,是?,否?,旧网址为：http://www.tuandai.com 2016-03-09 团贷网”平台运营主体变更公告 “团贷网”平台运营主体原为“广东俊特团贷网络信息?,,,,1010-1218?,,,,东莞市南城街道莞太路111号民间金融大厦1号楼28楼?,东莞市南城街道莞太路111号民间金融大厦1号楼28楼?,2012-07-15?,,,1小时?,91441900MA4ULXKB38?,
101,微金互助网,http://www.wjhz.cn,http://www.wjhz.cn/,5000,广东省,深圳市,南山区,深圳市微金兴业金融服务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,南山区?,深圳市南山区科苑路15号科兴科学园C栋3单元803?,深圳市南山区粤海街道高新中二道生产力大楼D单元二楼B4?,2013-04-18?,2015-12-17?,停业转型?,1天?,914403005977985871?,4403050070080800001?
102,PPmoney,http://www.ppmoney.com,http://www.ppmoney.com/deal/spike.html?page=(*)&id=0,50000,广东省,广州市,天河区,万惠投资管理有限公司,,正常?,是?,否?,"万惠投融 懒人宝不采,原主体广州万惠投资管理有限公司?",,,,10101212?,,,,广州市天河区珠江新城珠江东路12号高德置地冬广场H座34层?,广州市天河区珠江东路12号3401房之自编01-05单元?,2012-12-12?,,,1天?,91440106591537685W?,
103,美贷网,http://www.cnmeidai.com/,http://www.cnmeidai.com/invest/index.html?status=12,3000,广东省,深圳市,罗湖区,深圳美贷电子商务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,罗湖区?,深圳市罗湖区南湖街道嘉宾路彭年大厦4406-07室?,深圳市罗湖区南湖街道嘉宾路彭年大厦4406-07室?,2012-07-01?,,,1天?,91440300058979506P?,
104,3P银行,http://www.3pbank.com,http://www.3pbank.com/,500,广东省,惠州市,,惠州市点对点信用担保有限公司,,警?,否?,否?,网站没有数据，无借款列表?,,,,,,,,,惠州市河南岸螺子湖2号小区8楼A室?,,,,1小时?,91441300696410648P?,
105,在线贷,http://www.zxd.com/,http://www.zxd.com/,10000,广东省,深圳市,南山区,深圳市鼎丰在线金融信息服务有限公司,,问题平台?,否?,否?,回复提取不了 http://www.oldai.cn更改为http://www.zxd.com/?,,,,,广东?,深圳?,南山区?,深圳市南山区高新南四道18号创维半导体大厦十楼?,深圳市南山区高新南四道18号创维半导体设计大厦西座1002-1005?,2012-05-12?,,,1小时?,914403006875644187?,4403050070040700007000001?
107,贷易网,http://www.dai15.com,http://www.dai15.com/,100,广东省,东莞市,,东莞市卓智网络科技有限公司,,问题平台?,是?,否?,,,,,,,,,,东莞市虎门镇百达路旁翔凯大厦1002号铺位?,2014-01-01?,2014-06-18?,终止运营?,1天?,914419005847236583?,
108,鹏城贷,http://www.pcd888.com,http://www.pcd888.com/Lend/Succed.aspx,1000,广东省,深圳市,福田区,深圳市鹏城创投管理有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,福田区?,深圳市福田区深南大道车公庙绿景广场副楼13I?,深圳市福田区深南大道车公庙绿景广场副楼13I?,2012-10-18?,2013-10-01?,跑路?,1天?,91440300055139958K?,
109,开开贷,http://www.kaikaidai.com,http://www.kaikaidai.com/,100,山东省,青岛市,,青岛开开贷电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2011-11-29?,,网站打不开?,6小时?,,
110,轻松贷,http://www.qingsongdai.cn,http://www.qingsongdai.cn/,100,山东省,青岛市,,青岛青新特电子有限责任公司,,问题平台?,是?,否?,标 2014-01-14 止 主体已注销，注销时间：2018-10-16 注销原因：决议解散?,,,,,,,,,,2012-08-01?,,,1天?,,
111,久信金服,http://www.9cvc.com,http://www.9cvc.com/,1000,山东省,青岛市,,青岛久信投资管理有限公司,,问题平台?,是?,否?,2017-09-07 久信e贷品牌全面升级，正式更名为久信金服。?,,,,400-0267-518?,,,,,青岛市市南区香港中路12号C206户?,2012-09-07?,,涉嫌套路跑路?,1天?,91370202575792707M?,
112,山东大家贷,http://www.dajiadai.cn,http://www.dajiadai.cn/,1000,山东省,青岛市,,青岛河润林投资顾问有限公司,,问题平台?,是?,否?,,,,,4000-693-400?,,,,青岛开发区长江中路196号天河国际（书城）东单元1001室?,山东省青岛市黄岛区长江中路196号楼1单元1004室?,2012-07-20?,2018-02-03?,清盘公告?,1天?,91370211797530462H?,
113,鲁商贷,http://www.lushangdai.com/,http://www.edaituan.com/,501,山东省,济南市,,济南耀泽投资咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2013-01-17?,,,1天?,,
114,呱呱贷,http://www.ggdai.net,http://www.ggdai.net/,550,山东省,莱芜市,,莱芜市海泉投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2012-10-29?,,,1天?,,
115,瑞银创投,https://www.ry889.com,http://www.ry289.com/,1550,江苏省,泰州市,,泰州市瑞银创投电子商务股份有限公司,,正常?,是?,否?,原址：https://www.ry889.com/index.jsp 2015-12-15泰州市瑞银创投电子商务有限公司更名为泰州市瑞银创投电子商务股份有限公司?,,,,0523-87090168|badatx888@yahoo.cn?,,,,江苏省泰兴市陵园路70号?,江苏省泰兴市陵园路70号?,2011-08-01?,,,1小时?,,
116,睿逸金融,http://www.ruiyi.me,http://www.rysudai.com/,500,江苏省,常州市,,江苏睿逸投资管理有限公司,,问题平台?,是?,是?,2015-09-21 睿逸速贷 http://www.rysudai.com 网站打不开?,,,,,,,,,,2012-09-18?,,提现困难?,1小时?,,
117,MY标客,http://www.mybiaoke.com,http://www.mybiaoke.com,500,江苏省,徐州市,,徐州聚创电子商务有限公司,,问题平台?,是?,否?,网站打不开?,,,,,,,,,,2013-01-21?,,,1小时?,,
118,天天贷,http://www.tiantdai.com,http://www.titidai.com,10000,重庆市,重庆市,,重庆中恩控股集团有限公司,,警?,否?,否?,2016.6.12 客服电话023-45345777无人接听 QQ客服都不在线 标的是2015年的只有三个标 公司动态也是空白的 2015-09?,,,,023-45345777?,,,,重庆市铜梁区东城街道办事处淮远古韵北街28号?,重庆市江北区北城天街11号14-4?,2014-05-28?,2016-06-12?,,1小时?,,
119,口贷网,https://www.kdw.com/,http://www.qdai.com.cn/,5000,四川省,成都市,,口贷网络服务股份有限公司,,预警平台?,否?,否?,2018-09-03 官网发布兑付公告 旧址：http://www.qdai.com.cn 2016-3-11 口贷网络服务有限责任公司?,,,,,,,,,,2011-01-01?,,,1小时?,,
120,聚贷网,http://www.jvdai.com,http://www.jvdai.com.cn/,100,四川省,成都市,,成都市棱瑞网络科技有限公司,,问题平台?,是?,否?,平台失联 问题发生时间：2015-01-11?,,,,,,,,,,2014-12-16?,2015-01-11?,平台失联?,1小时?,,
121,可信贷,http://www.kexindai.com,http://www.kexindai.com/,5000,四川省,绵阳市,,绵阳可信投资管理有限公司,,预警平台?,是?,否?,2018-05-29 可信贷提现困难，项目逾期http://baijiahao.baidu.com/s?id=1601957305976468056&wfr=s?,,,,,,,,,,2012-10-01?,,,1小时?,,
122,慧财网,http://www.hcdai.com,http://old.hcdai.com/,500,四川省,成都市,,四川中联慧财投资管理有限公司,,问题平台?,是?,否?,提现困难 问题发生时间：2015-07-13 ?,,,,,,,,,,2012-12-01?,2015-07-13?,提现困难?,1小时?,,
123,天汇融,http://www.tianhr.com,http://www.tianhr.com,60,四川省,成都市,,成都天汇融网络科技有限公司,,问题平台?,是?,否?,平台失联 问题发生时间：2016-05-30?,,,,,,,,,,2014-10-22?,2016-05-30?,平台失联?,1小时?,,
124,拍拍贷,http://www.ppdai.com,http://www.ppdai.com/lend/default.aspx?&type=12&sort=8&page=(*),100000,上海市,上海市,,上海拍拍贷金融信息服务有限公司,,正常?,是?,否?,,,,,400-184-8888?,,,,上海市浦东新区丹桂路999号G1幢?,上海市自由贸易试验区丹桂路999弄10号、20号?,2007-06-17?,,,1天?,91310115568071645J?,
125,新新贷,http://www.xinxindai.com,http://www.xinxindai.com,5000,上海市,上海市,,新新贷（上海）金融信息服务有限公司,,正常?,否?,否?,,,,,,,,,,,2012-02-01?,,,1小时?,,
126,畅贷网,http://www.51qian.com,http://www.51qian.com/,500,上海市,上海市,,上海畅贷金融信息服务有限公司,,预警平台?,是?,否?,网站公告截止2016年8月31日?,,,,,,,,,,2010-04-14?,,,1小时?,,
127,你我贷,http://www.niwodai.com,http://www.niwodai.com/,10000,上海市,上海市,,上海你我贷互联网金融信息服务有限公司,,正常?,是?,否?,原主体上海嘉银金融信息服务有限公司?,,,,400-791-0888?,,,,中国（上海）自由贸易试验区杨高南路428号1幢17层（名义层20层?,上海市宝山区德都路月浦六村88号B380室?,2011-06-18?,,,1小时?,,
129,互利网龙宝宝,http://www.hlw2012.com/,http://www.hlwjd.cn/,5000,上海市,上海市,,银渠金融信息服务（上海）股份有限公司,,问题平台?,否?,否?,2015-11-13 http://www.hlwjd.cn 互利网更名互利网龙宝宝打不开?,,,,400 056 8881?,,,,上海市 青浦区 青湖路1023号(原民生银行)?,,2012-07-01?,2016-06-12?,提现困难?,1小时?,,
130,阳光贷,http://www.ygdai.com,http://www.ygjiedai.com/,1000,上海市,上海市,,雷奇投资（上海）有限公司,,问题平台?,是?,否?,2016-1-4 原名：阳光民间借贷 http://www.ygjiedai.com?,,,,,,,,,,2012-05-20?,,网站打不开?,1天?,,
131,爱投金融,https://www.5aitou.com/,http://www.5aitou.com/,5000,上海市,上海市,,上海爱投金融信息服务有限公司,,正常?,是?,否?,2015-08-06 http://www.5aitou.com 更改为 http://5aitou.cn/ 爱投科技 http://5aitou.cn/?,,,,4008-200-878?,,,,上海市杨浦区武东路198号9楼、10楼?,上海市杨浦区武东路188号13002-1室?,2013-02-08?,,打不开?,1小时?,913101105868471526?,
132,慧信贷,http://www.58loan.com,http://www.58loan.com/Index.aspx,100,上海市,上海市,,上海慧信投资管理有限公司,,问题平台?,否?,否?,58速贷?,,,,,,,,,,2013-04-01?,,网站打不开?,1小时?,,
134,翼龙贷,http://www.eloancn.com,,10000,北京市,北京市,,北京同城翼龙网络科技有限公司,,正常?,是?,否?,,,,,,,,,,,2012-03-09?,,,1小时?,,
135,盼贷网,http://www.pandai.cn,http://www.pandai.cn/,100,北京市,北京市,,北京盼大世纪信息技术有限公司,,问题平台?,是?,否?,2017-09-29 舆情：http://bbs.wdzj.com/thread-1023393-1-1.html 采借款条数2014-8-14?,,,,,,,,,,2011-12-28?,2017-09-15?,提现困难后被刑侦?,1小时?,,
136,搜好贷,http://www.sohodai.cn,http://www.sohodai.cn/Lend/?page=(*)&&sort=9,1500,福建省,厦门市,,厦门蓝象网络科技有限公司,,问题平台?,否?,否?,无成功列表，通过过滤方式获得?,,,,0592-2051215?,,,,厦门市湖里区泗水道599号1302室之二?,福建省厦门市湖里区泗水道599号B栋1302室?,2012-04-10?,,,1小时?,9135020667127650X3?,
137,起跑线贷,http://www.qpxjd.com,http://www.qpxjd.com/,100,福建省,泉州市,,晋江市起跑线投资咨询服务有限公司,,问题平台?,否?,是?,系统只列出前10笔?,,,,,,,,,,2012-09-15?,,,1小时?,,
138,豫商贷,http://www.zzwms.com,http://www.zzwms.com/,3001,河南省,郑州市,,河南豫商贷网络科技有限公司,,正常?,是?,否?,2015-08-21 河南沃尔仕财务咨询有限公司 100 更改为 河南豫商贷网络科技有限公司 3001?,,,,400-679-8881?,,,,郑州市紫荆山东大街名鞋大厦10层?,,2012-12-18?,,,1天?,,
140,普惠贷,http://www.puhuidai.com,http://www.puhuidai.com/lend/index.aspx?pageindex=(*),5000,辽宁省,大连市,,大连普惠信融咨询顾问有限公司,,正常?,是?,否?,,,,,,,,,,,2013-07-19?,,,1天?,,
141,国华商贷,http://www.guohuadai.com,http://www.guohuadai.com/,300,陕西省,西安市,,陕西国华金融信息服务有限公司,,问题平台?,是?,否?,打不开?,,,,,,,,,,2012-12-07?,,,1天?,,
143,云贷网,http://www.yundaiwang.com,http://www.yundaiwang.com/,1000,广西省,南宁市,,广西云贷网金融技术服务有限公司,,问题平台?,是?,否?,2015-11-5 广西云贷网商务信息咨询服务有限公司变更为广西云贷网金融技术服务有限公司 ?,,,,,,,,,,2012-11-19?,,网站打不开?,1天?,,
144,民民贷,http://www.minmindai.com/,,5000,浙江省,温州市,,温州佰卓商务信息咨询有限公司,,预警平台?,是?,否?,2019-01-21 14:35:24 民民贷良性退出公告 2018年底，公司接到上级监管部门的“清退”通知，万般无奈之下，公司经过慎重考虑，决定依据国家相关?,,,,,,,,,,2012-10-24?,,,1小时?,,
